id,user,lat,long,tags,title,date_taken_minute,date_taken_hour,date_taken_day,date_taken_month,date_taken_year,date_upload_minute,date_upload_hour,date_upload_day,date_upload_month,date_upload_year
4557430956,40936370@N00,45.837545,4.82613,"portrait,sculpture,streetart,stencils,france,art,mystery,museum,architecture,painting,graffiti,ruins,rawart,outsiderart,chaos,symbol,time,goin,contemporaryart,secret,911,apocalypse,taz,brain,peinture,container,freemasonry,mind,artbrut,temps,ddc,sanctuary,cyberpunk,landart,spraycan,2012,alchemy,modernsculpture,prophecy,999,vanitas,revelation,pochoirs,sanctuaire,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,2052,demeureduchaos,thierryehrmann,alchimie,artsingulier,prophétie,abodeofchaos,facteurcheval,palaisideal,postapocalyptique,maisondartiste,artistshouses,actingperformance,sculpturemoderne,francmaconnerie,groupeserveur,lespritdelasalamandre,servergroup,cathédraledelaconsommation","""Cathédrale de la consommation"" les dernières folies de Goin sur la décadence de l'Occident...",43,19,25,4,2010,48,10,27,4,2010
4556801167,40936370@N00,45.837545,4.82613,"portrait,sculpture,streetart,stencils,france,art,mystery,museum,architecture,painting,graffiti,ruins,rawart,outsiderart,chaos,symbol,time,goin,contemporaryart,secret,911,apocalypse,taz,brain,peinture,container,freemasonry,mind,artbrut,temps,ddc,sanctuary,cyberpunk,landart,spraycan,2012,alchemy,modernsculpture,prophecy,999,vanitas,revelation,pochoirs,sanctuaire,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,2052,demeureduchaos,thierryehrmann,alchimie,artsingulier,prophétie,abodeofchaos,facteurcheval,palaisideal,postapocalyptique,maisondartiste,artistshouses,actingperformance,sculpturemoderne,francmaconnerie,groupeserveur,lespritdelasalamandre,servergroup,cathédraledelaconsommation","""Cathédrale de la consommation"" les dernières folies de Goin sur la décadence de l'Occident...",43,19,25,4,2010,48,10,27,4,2010
4556801035,40936370@N00,45.837545,4.82613,"portrait,sculpture,streetart,stencils,france,art,mystery,museum,architecture,painting,graffiti,ruins,rawart,outsiderart,chaos,symbol,time,goin,contemporaryart,secret,911,apocalypse,taz,brain,peinture,container,freemasonry,mind,artbrut,temps,ddc,sanctuary,cyberpunk,landart,spraycan,2012,alchemy,modernsculpture,prophecy,999,vanitas,revelation,pochoirs,sanctuaire,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,2052,demeureduchaos,thierryehrmann,alchimie,artsingulier,prophétie,abodeofchaos,facteurcheval,palaisideal,postapocalyptique,maisondartiste,artistshouses,actingperformance,sculpturemoderne,francmaconnerie,groupeserveur,lespritdelasalamandre,servergroup,cathédraledelaconsommation","""2012"" les dernières folies de Goin sur la décadence de l'Occident...",41,19,25,4,2010,48,10,27,4,2010
4557430788,40936370@N00,45.837545,4.82613,"portrait,sculpture,streetart,stencils,france,art,mystery,museum,architecture,painting,graffiti,ruins,rawart,outsiderart,chaos,symbol,time,goin,contemporaryart,secret,911,apocalypse,taz,brain,peinture,container,freemasonry,mind,artbrut,temps,ddc,sanctuary,cyberpunk,landart,spraycan,2012,alchemy,modernsculpture,prophecy,999,vanitas,revelation,pochoirs,sanctuaire,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,2052,demeureduchaos,thierryehrmann,alchimie,artsingulier,prophétie,abodeofchaos,facteurcheval,palaisideal,postapocalyptique,maisondartiste,artistshouses,actingperformance,sculpturemoderne,francmaconnerie,groupeserveur,lespritdelasalamandre,servergroup,cathédraledelaconsommation","""Where is my Mind"" les dernières folies de Goin sur la décadence de l'Occident...",40,19,25,4,2010,48,10,27,4,2010
4557430728,40936370@N00,45.837545,4.82613,"portrait,sculpture,streetart,stencils,france,art,mystery,museum,architecture,painting,graffiti,ruins,rawart,outsiderart,chaos,symbol,time,goin,contemporaryart,secret,911,apocalypse,taz,brain,peinture,container,freemasonry,mind,artbrut,temps,ddc,sanctuary,cyberpunk,landart,spraycan,2012,alchemy,modernsculpture,prophecy,999,vanitas,revelation,pochoirs,sanctuaire,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,2052,demeureduchaos,thierryehrmann,alchimie,artsingulier,prophétie,abodeofchaos,facteurcheval,palaisideal,postapocalyptique,maisondartiste,artistshouses,actingperformance,sculpturemoderne,francmaconnerie,groupeserveur,lespritdelasalamandre,servergroup,cathédraledelaconsommation","""Where is my Mind"" les dernières folies de Goin sur la décadence de l'Occident...",40,19,25,4,2010,48,10,27,4,2010
4557430570,40936370@N00,45.837545,4.82613,"portrait,sculpture,streetart,stencils,france,art,mystery,museum,architecture,painting,graffiti,ruins,rawart,outsiderart,chaos,symbol,time,goin,contemporaryart,secret,911,apocalypse,taz,brain,peinture,container,freemasonry,mind,artbrut,temps,ddc,sanctuary,cyberpunk,landart,spraycan,2012,alchemy,modernsculpture,prophecy,999,vanitas,revelation,pochoirs,sanctuaire,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,2052,demeureduchaos,thierryehrmann,alchimie,artsingulier,prophétie,abodeofchaos,facteurcheval,palaisideal,postapocalyptique,maisondartiste,artistshouses,actingperformance,sculpturemoderne,francmaconnerie,groupeserveur,lespritdelasalamandre,servergroup,cathédraledelaconsommation","""Where is my Mind"" les dernières folies de Goin sur la décadence de l'Occident...",40,19,25,4,2010,48,10,27,4,2010
4557430506,40936370@N00,45.837545,4.82613,"portrait,sculpture,streetart,stencils,france,art,mystery,museum,architecture,painting,graffiti,ruins,rawart,outsiderart,chaos,symbol,time,goin,contemporaryart,secret,911,apocalypse,taz,brain,peinture,container,freemasonry,mind,artbrut,temps,ddc,sanctuary,cyberpunk,landart,spraycan,2012,alchemy,modernsculpture,prophecy,999,vanitas,revelation,pochoirs,sanctuaire,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,2052,demeureduchaos,thierryehrmann,alchimie,artsingulier,prophétie,abodeofchaos,facteurcheval,palaisideal,postapocalyptique,maisondartiste,artistshouses,actingperformance,sculpturemoderne,francmaconnerie,groupeserveur,lespritdelasalamandre,servergroup,cathédraledelaconsommation","""New Dark Ages"" les dernières folies de Goin sur la décadence de l'Occident...",39,19,25,4,2010,48,10,27,4,2010
4556800707,40936370@N00,45.837545,4.82613,"portrait,sculpture,streetart,stencils,france,art,mystery,museum,architecture,painting,graffiti,ruins,rawart,outsiderart,chaos,symbol,time,goin,contemporaryart,secret,911,apocalypse,taz,brain,peinture,container,freemasonry,mind,artbrut,temps,ddc,sanctuary,cyberpunk,landart,spraycan,2012,alchemy,modernsculpture,prophecy,999,vanitas,revelation,pochoirs,sanctuaire,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,2052,demeureduchaos,thierryehrmann,alchimie,artsingulier,prophétie,abodeofchaos,facteurcheval,palaisideal,postapocalyptique,maisondartiste,artistshouses,actingperformance,sculpturemoderne,francmaconnerie,groupeserveur,lespritdelasalamandre,servergroup,cathédraledelaconsommation","""New Dark Ages"" les dernières folies de Goin sur la décadence de l'Occident...",38,19,25,4,2010,48,10,27,4,2010
4556800663,40936370@N00,45.837545,4.82613,"portrait,sculpture,streetart,stencils,france,art,mystery,museum,architecture,painting,graffiti,ruins,rawart,outsiderart,chaos,symbol,time,goin,contemporaryart,secret,911,apocalypse,taz,brain,peinture,container,freemasonry,mind,artbrut,temps,ddc,sanctuary,cyberpunk,landart,spraycan,2012,alchemy,modernsculpture,prophecy,999,vanitas,revelation,pochoirs,sanctuaire,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,2052,demeureduchaos,thierryehrmann,alchimie,artsingulier,prophétie,abodeofchaos,facteurcheval,palaisideal,postapocalyptique,maisondartiste,artistshouses,actingperformance,sculpturemoderne,francmaconnerie,groupeserveur,lespritdelasalamandre,servergroup,cathédraledelaconsommation","""New Dark Ages"" les dernières folies de Goin sur la décadence de l'Occident...",38,19,25,4,2010,48,10,27,4,2010
4556800589,40936370@N00,45.837545,4.82613,"portrait,sculpture,streetart,stencils,france,art,mystery,museum,architecture,painting,graffiti,ruins,rawart,outsiderart,chaos,symbol,time,goin,contemporaryart,secret,911,apocalypse,taz,brain,peinture,container,freemasonry,mind,artbrut,temps,ddc,sanctuary,cyberpunk,landart,spraycan,2012,alchemy,modernsculpture,prophecy,999,vanitas,revelation,pochoirs,sanctuaire,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,2052,demeureduchaos,thierryehrmann,alchimie,artsingulier,prophétie,abodeofchaos,facteurcheval,palaisideal,postapocalyptique,maisondartiste,artistshouses,actingperformance,sculpturemoderne,francmaconnerie,groupeserveur,lespritdelasalamandre,servergroup,cathédraledelaconsommation","""2052"" les dernières folies de Goin sur la décadence de l'Occident...",38,19,25,4,2010,48,10,27,4,2010
